mS[GeV], sinalp
249.5774647887324, -0.17256317689530692
259.71830985915494, -0.17256317689530692
269.85915492957747, -0.17256317689530692
280, -0.132129963898917
300.28169014084506, -0.16823104693140806
318.8732394366197, -0.12346570397111917
332.3943661971831, -0.12346570397111917
339.15492957746477, -0.11480144404332132
350.98591549295776, -0.11480144404332132
378.0281690140845, -0.14368231046931407
412.67605633802816, -0.14368231046931407
420.28169014084506, -0.13357400722021667
430.4225352112676, -0.13357400722021667
459.15492957746477, -0.16245487364620942
470.9859154929577, -0.16245487364620942
477.7464788732394, -0.1696750902527076
484.5070422535211, -0.1696750902527076
499.7183098591549, -0.15379061371841157
520, -0.1696750902527076
533.5211267605633, -0.17400722021660647
540.2816901408451, -0.17400722021660647
548.7323943661972, -0.16389891696750897
560.5633802816901, -0.16389891696750897
572.394366197183, -0.1768953068592058
590.9859154929577, -0.17545126353790613
624.7887323943662, -0.17256317689530692
675.4929577464789, -0.16823104693140806
732.9577464788731, -0.16389891696750897
830.9859154929577, -0.15812274368231055
939.1549295774646, -0.1523465703971119
1000, -0.1494584837545127

