# ctau[mm],Efficiency
5.208301886792452251e+02,8.159028413568635691e-05
1.010886792452830150e+03,7.865303390680180402e-04
1.500943396226415189e+03,3.077585517598094896e-03
2.030773584905660300e+03,4.693073143484686668e-03
2.980113207547170077e+03,6.396678276237821939e-03
4.000000000000000000e+03,7.189735838036694776e-03
5.010886792452830377e+03,6.396678276237821939e-03
7.010886792452830377e+03,7.189735838036694776e-03
9.010886792452831287e+03,5.985463244193962688e-03
1.200000000000000000e+04,4.193740604574287822e-03
1.498011320754717053e+04,2.490135471821152118e-03
2.000000000000000000e+04,1.697077910022279715e-03
