# Values for variable: $E_T^{\rm miss}$ (Parton Level, N-1) (GeV)
# Input file for ddmH_mS_500_m1_244_dm_90 : ../pp2chi0chi0J_scan/Events/run_01/ddmH_mS_500_m1_244_dm_90_delphes_events.root (36670 MC events)
bin_center,bin_left_edge,bin_right_edge,normalized_count,error
1.0000e+01,0.0000e+00,2.0000e+01,8.9474e-02,1.5620e-03
3.0000e+01,2.0000e+01,4.0000e+01,1.7554e-01,2.1879e-03
5.0000e+01,4.0000e+01,6.0000e+01,1.8451e-01,2.2431e-03
7.0000e+01,6.0000e+01,8.0000e+01,1.4546e-01,1.9917e-03
9.0000e+01,8.0000e+01,1.0000e+02,1.0376e-01,1.6822e-03
1.1000e+02,1.0000e+02,1.2000e+02,7.3602e-02,1.4167e-03
1.3000e+02,1.2000e+02,1.4000e+02,5.4840e-02,1.2229e-03
1.5000e+02,1.4000e+02,1.6000e+02,4.2187e-02,1.0726e-03
1.7000e+02,1.6000e+02,1.8000e+02,3.2315e-02,9.3875e-04
1.9000e+02,1.8000e+02,2.0000e+02,2.5743e-02,8.3787e-04
2.1000e+02,2.0000e+02,2.2000e+02,1.9771e-02,7.3427e-04
2.3000e+02,2.2000e+02,2.4000e+02,1.7289e-02,6.8665e-04
2.5000e+02,2.4000e+02,2.6000e+02,1.4808e-02,6.3546e-04
2.7000e+02,2.6000e+02,2.8000e+02,1.1290e-02,5.5487e-04
2.9000e+02,2.8000e+02,3.0000e+02,9.4082e-03,5.0652e-04
